model,bf,model_label
a,29.56064849556769,BR&ML&PO
b,10.296073449734312,PO
c,-5.409351473386408,ML
d,6.821087614390478,BR
e,27.068567845439926,BR & PO
f,12.158756670484788,ML & PO
g,8.47137739528813,BR & ML
AA,31.89863896126365,BR = ML = PO
BB,31.613790039889864,(BR=ML) < PO
CC,28.684164233311197,(BR=ML) > PO
DD,29.1271237504215,(ML=PO) < BR
EE,29.521685765023054,(ML=PO) > BR
FF,28.44992309920539,(BR=PO) < ML
GG,32.29678178173534,(BR=PO) > ML
HH,31.111311764508063,BR > ML < PO & BR < PO
II,29.276871325761658,BR > ML < PO & BR > PO
JJ,26.54874020931159,BR < ML > PO & BR < PO
KK,24.888014773596932,BR < ML > PO & BR > PO
LL,28.742105279389246,BR < ML < PO & BR < PO
MM,25.83270480822444,BR > ML > PO & BR > PO
UN,-6.663949962923563,BR & ML & PO (no effect in all manipulations)
